"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
222,\N,4628,\N,\N,"00 48 23.0","+05 16 50",5.75,0.88,"  K2V               ",\N,\N,\N,\N
223," 25Nu  Cas",4636,\N,302,"00 48 50.1","+50 58 06",4.89,-0.11,"  B9III             ",\N,\N,\N,\N
224," 63Del Psc",4656,\N,\N,"00 48 41.0","+07 35 06",4.43,1.5,"  K4IIIb            ",\N,\N,\N,"*"
225," 64    Psc",4676,\N,\N,"00 48 58.7","+16 56 26",5.07,0.51,"  F8V               ",\N,\N,\N,"*"
226," 35Nu  And",4727,\N,\N,"00 49 48.8","+41 04 44",4.53,-0.15,"  B5V+F8V           ",\N,\N,\N,"*"
227,\N,4730,680,\N,"00 49 25.6","-13 33 41",5.59,1.3,"  K5III             ",\N,\N,\N,"*"
228,\N,4732,679,\N,"00 49 13.9","-24 08 11",5.9,0.95,"  K2III             ",\N,\N,\N,\N
229,\N,4737,\N,\N,"00 48 56.7","-46 41 52",6.27,0.9,"  G8III             ",\N,\N,\N,\N
230," 65    Psc",4757,683,\N,"00 49 52.8","+27 42 39",7,0.36,"  F4III             ",\N,\N,\N,"*"
231," 65    Psc",4758,683,\N,"00 49 53.2","+27 42 37",7.1,\N,"  F5III             ",\N,\N,\N,"*"
232,\N,4772,\N,\N,"00 49 33.4","-23 21 42",6.28,0.13,"  A3V               ",\N,\N,\N,\N
233,\N,4775,\N,317,"00 50 43.6","+64 14 51",5.39,0.49,"  G0III-IV+B9.5V    ",\N,\N,\N,"*"
234,\N,4778,\N,"GO And   ","00 50 18.3","+45 00 08",6.15,0.01,"  A0pCr             ",\N,\N,\N,"*"
235," 19Phi2Cet",4813,\N,316,"00 50 07.6","-10 38 40",5.19,0.5,"  F7IV-V            ",\N,\N,\N,"*"
236,"   Lam Hyi",4815,\N,\N,"00 48 35.4","-74 55 24",5.07,1.37,"  K5III             ",\N,\N,\N,\N
237,\N,4817,\N,319,"00 51 16.4","+61 48 21",6.07,1.88,"  K2Ib-IICN-2       ",\N,\N,\N,"*"
238,\N,4818,\N,"V526 Cas ","00 50 57.4","+51 30 29",6.39,0.28,"  F2IV              ",\N,\N,\N,"*"
239,\N,4849,\N,"AZ Phe   ","00 50 03.7","-43 23 41",6.48,0.29,"  A9-F0III          ",\N,\N,\N,"*"
240,\N,4853,\N,\N,"00 54 53.1","+83 42 26",5.62,0.09,"  A4V               ",\N,\N,\N,\N
241,\N,4881,\N,\N,"00 51 33.7","+51 34 16",6.21,\N,"  B9.5V             ",\N,\N,\N,\N
242,"   Rho Phe",4919,\N,"Rho Phe  ","00 50 41.2","-50 59 13",5.22,0.36,"  F2III             ",\N,\N,\N,"*"
243,\N,4928,\N,\N,"00 51 18.3","+03 23 06",6.37,1.07,"  K0III             ",\N,\N,\N,"*"
244,\N,5015,721,\N,"00 53 04.1","+61 07 27",4.82,0.53,"  F8V               ",\N,\N,\N,"*"
245,\N,5042,\N,\N,"00 51 52.1","-43 42 33",6.9,0.35,"  F2V+F5V           ",\N,\N,\N,"*"
246,\N,5066,\N,\N,"00 52 53.4","+38 32 55",6.69,0.02,"  A2V               ",\N,\N,\N,\N
247,\N,5098,726,\N,"00 52 40.6","-24 00 21",5.46,1.24,"  K2III             ",\N,\N,\N,"*"
248," 20    Cet",5112,\N,\N,"00 53 00.5","-01 08 39",4.77,1.57,"  M0III             ",\N,\N,\N,\N
249,\N,5118,\N,\N,"00 53 28.2","+37 25 05",6.06,1.14," gK3                ",\N,\N,\N,\N
250,\N,5128,735,\N,"00 53 47.6","+52 41 21",6.27,0.19,"  A5m               ",\N,\N,\N,"*"
251,\N,5156,733,\N,"00 53 12.4","-24 46 37",6.46,0.44,"  F6IV-V            ",\N,\N,\N,"*"
252,"   Lam1Tuc",5190,\N,334,"00 52 24.3","-69 30 16",6.22,0.56,"  F7IV-V            ",\N,\N,\N,\N
253," 26Ups1Cas",5234,748,\N,"00 55 00.1","+58 58 22",4.83,1.21,"  K2III             ",\N,\N,\N,"*"
254," 66    Psc",5267,746,\N,"00 54 35.2","+19 11 18",5.74,-0.01,"  A1VN              ",\N,\N,\N,"*"
255," 21    Cet",5268,\N,\N,"00 54 17.6","-08 44 27",6.16,0.92,"  G5IV              ",\N,\N,\N,\N
256,\N,5273,\N,\N,"00 55 05.2","+48 40 43",6.27,1.68,"  M2.5IIIa          ",\N,\N,\N,\N
257,\N,5276,\N,"BQ Tuc   ","00 53 37.9","-62 52 17",5.7,1.56,"  M4III             ",\N,\N,\N,"*"
258," 36    And",5286,755,343,"00 54 58.0","+23 37 42",5.47,1,"  K1IV              ",\N,\N,\N,"*"
259,\N,5316,\N,346,"00 55 14.7","+24 33 25",6.2,1.62,"  M4IIIab           ",\N,\N,\N,\N
260,\N,5343,\N,\N,"00 56 12.9","+57 59 48",6.21,1.37,"  K3III             ",\N,\N,\N,\N
261,\N,5357,\N,\N,"00 56 55.6","+68 46 34",6.37,0.38,"  F4III             ",\N,\N,\N,\N
262," 67    Psc",5382,\N,\N,"00 55 58.5","+27 12 34",6.09,0.14,"  A5IV              ",\N,\N,\N,\N
263,\N,5384,\N,\N,"00 55 42.4","-07 20 50",5.85,1.52,"  K5III             ",\N,\N,\N,"*"
264," 27Gam Cas",5394,782,"Gam Cas  ","00 56 42.5","+60 43 00",2.47,-0.15,"  B0IVe             ",\N,\N,\N,"*"
265," 28Ups2Cas",5395,\N,\N,"00 56 39.8","+59 10 52",4.63,0.96,"  G8IIIbFe-0.5      ",\N,\N,\N,"*"
266,\N,5408,784,\N,"00 56 47.1","+60 21 46",5.55,-0.07,"  B9IVn             ",\N,\N,\N,"*"
267," 22Phi3Cet",5437,\N,\N,"00 56 01.5","-11 16 00",5.31,1.52,"  K4III             ",\N,\N,\N,\N
268,\N,5445,\N,\N,"00 55 55.5","-27 46 32",6.1,1.67,"  M0III             ",\N,\N,\N,\N
269," 37Mu  And",5448,788,\N,"00 56 45.2","+38 29 58",3.87,0.13,"  A5V               ",\N,\N,\N,"*"
270,"   Lam2Tuc",5457,\N,\N,"00 55 00.3","-69 31 37",5.45,1.09,"  K2III             ",\N,\N,\N,\N
271," 38Eta And",5516,\N,\N,"00 57 12.4","+23 25 03",4.42,0.94,"  G8IIIb            ",\N,\N,\N,"*"
272,\N,5526,\N,\N,"00 57 39.7","+45 50 23",6.12,1.02,"  K2III             ",\N,\N,\N,\N
273,\N,5550,\N,\N,"00 58 31.1","+66 21 08",5.97,-0.02,"  A0III             ",\N,\N,\N,\N
274," 68    Psc",5575,\N,\N,"00 57 50.2","+28 59 32",5.42,1.08," gG6                ",\N,\N,\N,\N
275,\N,5608,\N,\N,"00 58 14.2","+33 57 03",5.98,1,"  K0                ",\N,\N,\N,\N
276,\N,5612,\N,\N,"00 57 54.5","+13 41 45",6.32,0.89,"  G8III             ",\N,\N,\N,"*"
277,\N,5641,805,\N,"00 58 18.9","+21 24 16",6.37,0.09,"  A2V               ",\N,\N,\N,"*"
278,\N,5715,\N,\N,"01 00 31.0","+70 58 59",6.39,0.13,"  A4IV              ",\N,\N,\N,"*"
279," 23Phi4Cet",5722,\N,\N,"00 58 43.9","-11 22 48",5.61,0.97,"  G7III             ",\N,\N,\N,\N
280,"   Alp Scl",5737,\N,359,"00 58 36.4","-29 21 27",4.31,-0.16,"  B7IIIp            ",\N,\N,\N,"*"
281,\N,5771,\N,\N,"00 58 22.4","-60 41 47",6.23,0.1,"  Am                ",\N,\N,\N,\N
282,\N,5788,824,\N,"01 00 03.4","+44 42 40",6.84,\N,"  A2Vn              ",\N,\N,\N,"*"
283,\N,5789,824,\N,"01 00 03.6","+44 42 48",6.04,-0.01,"  B9.5Vn            ",\N,\N,\N,"*"
284,\N,5820,\N,"WW Psc   ","00 59 49.7","+06 28 59",6.11,1.67,"  M2III             ",\N,\N,\N,"*"
285,\N,5848,\N,\N,"01 08 44.7","+86 15 25",4.25,1.21,"  K2II-III          ",\N,\N,\N,"*"
286,\N,5914,\N,\N,"01 33 50.4","+89 00 56",6.46,0.11,"  A3V               ",\N,\N,\N,\N
287,\N,6028,\N,\N,"01 02 18.4","+51 02 06",6.47,\N,"  A3V               ",\N,\N,\N,\N
288,"   Xi  Scl",6055,\N,\N,"01 01 18.3","-38 55 00",5.59,1.18,"  K0III             ",\N,\N,\N,\N
289,\N,6114,862,\N,"01 03 01.5","+47 22 34",6.45,0.25,"  A9IV              ",\N,\N,\N,"*"
290," 39    And",6116,863,\N,"01 02 54.3","+41 20 42",5.98,0.16,"  A5m               ",\N,\N,\N,"*"
291," 69Sig Psc",6118,\N,\N,"01 02 49.1","+31 48 16",5.5,-0.05,"  B9.5V             ",\N,\N,\N,"*"
292,\N,6130,868,\N,"01 03 37.0","+61 04 30",5.92,0.49,"  F0II              ",\N,\N,\N,\N
293,"   Sig Scl",6178,\N,\N,"01 02 26.4","-31 33 07",5.5,0.08,"  A2V               ",\N,\N,\N,\N
294," 71Eps Psc",6186,\N,\N,"01 02 56.6","+07 53 24",4.28,0.96,"  K0III             ",\N,\N,\N,"*"
295,"   Ome Phe",6192,\N,\N,"01 02 01.8","-57 00 09",6.11,0.94,"  G8III             ",\N,\N,\N,\N
296," 25    Cet",6203,\N,\N,"01 03 02.6","-04 50 12",5.43,1.11,"  K0III-IV          ",\N,\N,\N,\N
297,\N,6210,\N,\N,"01 04 19.6","+61 34 49",5.84,0.54,"  F6V               ",\N,\N,\N,\N
298,\N,6211,\N,\N,"01 04 02.4","+52 30 08",5.99,1.47,"  K2                ",\N,\N,\N,\N
299,\N,6245,\N,\N,"01 02 49.2","-46 23 51",5.36,0.9,"  G8III             ",\N,\N,\N,\N
300,\N,6269,\N,\N,"01 03 17.6","-29 31 33",6.29,0.93,"  G5IV              ",\N,\N,\N,\N
301," 26    Cet",6288,875,\N,"01 03 49.0","+01 22 00",6.04,0.27,"  F1V               ",\N,\N,\N,"*"
302,\N,6300,\N,\N,"01 04 46.8","+51 00 36",6.54,-0.08,"  B3V               ",\N,\N,\N,"*"
303,\N,6301,\N,\N,"01 04 27.6","+29 39 31",6.19,0.43,"  F7IV-V            ",\N,\N,\N,\N
304,\N,6311,\N,"CC Tuc   ","01 02 42.9","-65 27 22",6.21,1.64,"  M2III             ",\N,\N,\N,"*"
305,\N,6314,\N,\N,"01 04 36.4","+39 59 28",6.72,0.31,"  F0Vn              ",\N,\N,\N,\N
306,\N,6319,\N,\N,"01 16 13.5","+87 08 43",6.25,1.12," gK2                ",\N,\N,\N,\N
307," 73    Psc",6386,\N,\N,"01 04 52.6","+05 39 23",6,1.51," gK5                ",\N,\N,\N,\N
308," 72    Psc",6397,889,\N,"01 05 05.4","+14 56 46",5.68,0.41,"  F4II-III          ",\N,\N,\N,"*"
309,\N,6416,\N,\N,"01 06 22.8","+62 45 42",6.54,0.19,"  A5Vn              ",\N,\N,\N,"*"
310," 74Psi1Psc",6456,899,397,"01 05 40.9","+21 28 24",5.34,-0.03,"  A1Vn              ",\N,\N,\N,"*"
311," 74Psi1Psc",6457,899,\N,"01 05 41.7","+21 27 55",5.56,-0.07,"  A0Vn              ",\N,\N,\N,"*"
312,\N,6473,\N,\N,"01 09 12.3","+80 00 42",6.29,\N,"sgG6                ",\N,\N,\N,\N
313," 77    Psc",6479,903,\N,"01 05 49.2","+04 54 30",6.35,0.38,"  F3V               ",\N,\N,\N,"*"
314," 77    Psc",6480,903,\N,"01 05 51.4","+04 54 34",7.25,0.49,"  F6V               ",\N,\N,\N,"*"
315," 27    Cet",6482,\N,\N,"01 05 36.8","-09 58 45",6.12,1.01,"  K0III             ",\N,\N,\N,"*"
316,\N,6497,\N,\N,"01 07 00.2","+56 56 06",6.43,1.18,"  K2III             ",\N,\N,\N,"*"
317," 28    Cet",6530,\N,\N,"01 06 05.1","-09 50 22",5.58,0.01,"  A1V               ",\N,\N,\N,"*"
318,\N,6540,915,\N,"01 07 09.5","+53 29 54",6.38,\N,"  K2III             ",\N,\N,\N,"*"
319," 75    Psc",6557,\N,\N,"01 06 33.6","+12 57 22",6.12,0.96,"  G8III             ",\N,\N,\N,\N
320,\N,6559,\N,\N,"01 06 07.7","-23 59 33",6.14,1.09,"  G8-K0III          ",\N,\N,\N,\N
321," 30Mu  Cas",6582,\N,405,"01 08 16.4","+54 55 13",5.17,0.69,"  G5Vb              ",\N,\N,\N,"*"
322,"   Bet Phe",6595,\N,400,"01 06 05.0","-46 43 07",3.31,0.89,"  G8III             ",\N,\N,\N,"*"
323,\N,6619,\N,\N,"01 06 26.5","-35 39 39",6.61,0.14,"  A1V               ",\N,\N,\N,"*"
324," 41    And",6658,\N,\N,"01 08 00.9","+43 56 31",5.03,0.11,"  A3m               ",\N,\N,\N,"*"
325,\N,6668,\N,\N,"01 07 13.1","-23 59 47",6.37,0.23,"  A7V               ",\N,\N,\N,\N
326,\N,6676,\N,\N,"01 08 33.3","+58 15 49",5.79,-0.01,"  B8V               ",\N,\N,\N,\N
327," 78    Psc",6680,\N,\N,"01 08 01.3","+32 00 44",6.25,0.4,"  F5IV              ",\N,\N,\N,"*"
328," 79Psi2Psc",6695,\N,\N,"01 07 57.2","+20 44 21",5.55,0.13,"  A3V               ",\N,\N,\N,\N
329," 30    Cet",6706,\N,\N,"01 07 46.2","-09 47 08",5.82,0.43,"  F7IV              ",\N,\N,\N,\N
330," 80    Psc",6763,\N,410,"01 08 22.2","+05 38 59",5.52,0.34,"  F0III-IV          ",\N,\N,\N,"*"
331,"   Ups Phe",6767,\N,\N,"01 07 47.9","-41 29 13",5.21,0.16,"  A3IV              ",\N,\N,\N,"*"
332,"   Iot Tuc",6793,\N,\N,"01 07 18.7","-61 46 31",5.37,0.88,"  G5III             ",\N,\N,\N,\N
333,\N,6798,\N,\N,"01 12 16.7","+79 40 26",5.64,0.01,"  A3V               ",\N,\N,\N,\N
334," 31Eta Cet",6805,\N,\N,"01 08 35.4","-10 10 56",3.45,1.16,"  K1.5IIICN1Fe0.5   ",\N,\N,\N,"*"
335," 42Phi And",6811,940,"Var?     ","01 09 30.2","+47 14 31",4.25,-0.07,"  B7Ve              ",\N,\N,\N,"*"
336," 31    Cas",6829,\N,\N,"01 10 39.3","+68 46 43",5.29,-0.02,"  A0Vnn             ",\N,\N,\N,"*"
337," 43Bet And",6860,949,414,"01 09 43.9","+35 37 14",2.06,1.58,"  M0+IIIa           ",\N,\N,\N,"*"
338,"   Zet Phe",6882,\N,"Zet Phe  ","01 08 23.1","-55 14 45",3.92,-0.08,"  B6V+B9V           ",\N,\N,\N,"*"
339," 81Psi3Psc",6903,\N,"Var?     ","01 09 49.2","+19 39 31",5.55,0.69,"  G0III             ",\N,\N,\N,\N
340," 44    And",6920,\N,\N,"01 10 18.8","+42 04 53",5.65,0.6,"  F8V               ",\N,\N,\N,\N
341,\N,6953,\N,\N,"01 10 19.4","+25 27 28",5.8,1.47,"  K7III             ",\N,\N,\N,\N
342,\N,6960,\N,424,"01 11 25.6","+64 12 10",5.55,-0.07,"  B9.5V             ",\N,\N,\N,"*"
343," 33The Cas",6961,\N,423,"01 11 06.2","+55 08 59",4.33,0.17,"  A7V               ",\N,\N,\N,"*"
344,\N,6966,\N,\N,"01 10 11.5","+15 40 27",6.06,1.49,"  M0III             ",\N,\N,\N,\N
345," 32    Cas",6972,\N,"RU Cas   ","01 11 41.4","+65 01 08",5.57,-0.09,"  B9IV              ",\N,\N,\N,"*"
346," 32    Cet",6976,\N,\N,"01 10 12.0","-08 54 22",6.4,1.04,"  K0III             ",\N,\N,\N,\N
347," 33    Cet",7014,\N,422,"01 10 33.6","+02 26 44",5.95,1.51,"  K4III             ",\N,\N,\N,"*"
348," 45    And",7019,\N,\N,"01 11 10.3","+37 43 27",5.81,-0.1,"  B7III-IV          ",\N,\N,\N,"*"
349," 82    Psc",7034,\N,\N,"01 11 06.8","+31 25 29",5.16,0.23,"  F0V               ",\N,\N,\N,\N
350,\N,7082,\N,\N,"01 10 07.4","-57 41 40",6.41,0.89,"  G6II-III          ",\N,\N,\N,\N
351," 84Chi Psc",7087,\N,\N,"01 11 27.2","+21 02 05",4.66,1.03,"  G8.5III-IIIa      ",\N,\N,\N,\N
352," 83Tau Psc",7106,\N,\N,"01 11 39.6","+30 05 23",4.51,1.09,"  K0.5IIIb          ",\N,\N,\N,\N
353," 34    Cet",7147,\N,\N,"01 11 43.5","-02 15 04",5.94,1.4,"  K4III             ",\N,\N,\N,"*"
354,\N,7157,987,\N,"01 13 09.9","+61 42 21",6.41,0.01,"  B9V               ",\N,\N,\N,\N
355,\N,7158,\N,\N,"01 12 34.0","+45 20 16",6.11,1.64,"  M1III             ",\N,\N,\N,\N
356,\N,7229,990,\N,"01 12 59.5","+30 03 51",6.19,1,"  G9III+G1V         ",\N,\N,\N,"*"
357,\N,7238,\N,\N,"01 16 30.7","+79 54 36",6.26,0.42,"  F5V s             ",\N,\N,\N,\N
358,\N,7259,\N,\N,"01 12 23.4","-30 48 08",6.52,0.48,"  F7IV              ",\N,\N,\N,\N
359,\N,7312,\N,"AI Scl   ","01 12 45.4","-37 51 23",5.92,0.28,"  F0III             ",\N,\N,\N,"*"
360," 85Phi Psc",7318,995,\N,"01 13 44.9","+24 35 01",4.65,1.04,"  K0III             ",\N,\N,\N,"*"
361," 86Zet Psc",7344,996,\N,"01 13 43.9","+07 34 31",5.24,0.32,"  A7IV              ",\N,\N,\N,"*"
362," 86Zet Psc",7345,996,442,"01 13 45.3","+07 34 42",6.3,0.49,"  F7V               ",\N,\N,\N,"*"
363,\N,7351,\N,444,"01 14 05.0","+28 31 47",6.43,1.7,"  S3+/2-            ",\N,\N,\N,"*"
364," 87    Psc",7374,\N,445,"01 14 07.6","+16 08 01",5.98,-0.08,"  B8III             ",\N,\N,\N,"*"
365,\N,7389,\N,\N,"01 16 12.1","+71 44 38",7.83,0.78,"  K1V               ",\N,\N,\N,"*"
366," 37    Cet",7439,1003,446,"01 14 24.0","-07 55 23",5.13,0.46,"  F5V               ",\N,\N,\N,"*"
367," 88    Psc",7446,\N,\N,"01 14 42.4","+06 59 43",6.03,1.08," gG6                ",\N,\N,\N,\N
368," 38    Cet",7476,\N,\N,"01 14 49.2","-00 58 26",5.7,0.42,"  F5V               ",\N,\N,\N,"*"
369,\N,7546,\N,\N,"01 16 24.5","+48 04 56",6.61,-0.05,"  B9IIIpSi          ",\N,\N,\N,\N
370,"   Nu  Phe",7570,\N,\N,"01 15 11.1","-45 31 53",4.96,0.58,"  F8V               ",\N,\N,\N,"*"
371,\N,7578,\N,\N,"01 16 18.8","+33 06 53",6.02,1.15,"  K1III             ",\N,\N,\N,"*"
372,\N,7647,\N,\N,"01 17 05.1","+44 54 07",6.34,\N,"  K5                ",\N,\N,\N,\N
373," 39    Cet",7672,\N,"AY Cet   ","01 16 36.3","-02 30 01",5.41,0.9,"  G5IIIe+dA         ",\N,\N,\N,"*"
374,\N,7724,\N,\N,"01 17 24.1","+31 44 41",6.73,\N,"  K0                ",\N,\N,\N,\N
375,\N,7732,\N,\N,"01 20 19.5","+77 34 14",6.31,0.92,"  G5III             ",\N,\N,\N,\N
376,\N,7758,\N,\N,"01 18 10.2","+47 25 11",6.25,1.35,"  K0                ",\N,\N,\N,\N
377,"   Kap Tuc",7788,\N,454,"01 15 46.1","-68 52 34",4.86,0.47,"  F6IV              ",\N,\N,\N,"*"
378," 89    Psc",7804,\N,\N,"01 17 48.0","+03 36 52",5.16,0.07,"  A3V               ",\N,\N,\N,"*"
379,\N,7853,1055,\N,"01 18 47.0","+37 23 10",6.46,0.23,"  A5m               ",\N,\N,\N,\N
380,\N,7916,\N,\N,"01 17 03.6","-66 23 53",6.24,0.05,"  A0V               ",\N,\N,\N,\N
381,\N,7925,\N,\N,"01 21 59.1","+76 14 20",6.38,0.28,"  F0IVn             ",\N,\N,\N,\N
382," 34Phi Cas",7927,1073,\N,"01 20 04.9","+58 13 54",4.98,0.68,"  F0Ia              ",\N,\N,\N,"*"
383," 90Ups Psc",7964,\N,\N,"01 19 28.0","+27 15 51",4.76,0.03,"  A3V               ",\N,\N,\N,\N
384," 35    Cas",8003,1088,474,"01 21 05.2","+64 39 30",6.34,0.09,"  A2Vnn             ",\N,\N,\N,\N
385," 42    Cet",8036,1081,\N,"01 19 48.3","-00 30 32",5.87,0.64,"  G8III+A7V         ",\N,\N,\N,"*"
386,\N,8065,\N,\N,"01 23 46.8","+78 43 33",6.07,0.39,"  A0Iab             ",\N,\N,\N,\N
387,\N,8120,\N,\N,"01 20 34.5","-03 14 49",6.23,1.02,"  K1III             ",\N,\N,\N,\N
388,\N,8121,\N,\N,"01 20 27.8","-11 14 20",6.15,1.11,"  K1III             ",\N,\N,\N,\N
389," 91    Psc",8126,\N,\N,"01 21 07.4","+28 44 17",5.23,1.39," gK5                ",\N,\N,\N,\N
390," 46Xi  And",8207,\N,\N,"01 22 20.4","+45 31 44",4.88,1.08,"  K0-IIIb           ",\N,\N,\N,"*"
391,\N,8272,1105,\N,"01 23 21.6","+58 08 35",6.45,\N,"  F4V               ",\N,\N,\N,"*"
392,\N,8334,\N,\N,"01 22 37.0","+01 43 35",6.2,1.52,"  K5IIIab           ",\N,\N,\N,\N
393," 43    Cet",8335,\N,487,"01 22 34.8","-00 26 59",6.49,1.08," gK0                ",\N,\N,\N,\N
394,\N,8350,1106,\N,"01 22 30.5","-19 04 53",6.35,0.48,"  F6IV              ",\N,\N,\N,"*"
395," 47    And",8374,\N,\N,"01 23 40.6","+37 42 54",5.58,0.26,"  A2Vm              ",\N,\N,\N,"*"
396,\N,8375,\N,\N,"01 23 37.5","+34 14 45",6.29,0.83,"  G8IV              ",\N,\N,\N,\N
397,\N,8388,\N,\N,"01 23 24.9","+20 28 08",5.97,1.71,"  K5                ",\N,\N,\N,\N
398,\N,8424,\N,\N,"01 25 46.5","+70 58 48",6.49,\N,"  A0Vnn             ",\N,\N,\N,\N
399," 36Psi Cas",8491,1129,\N,"01 25 56.0","+68 07 48",4.74,1.05,"  K0III             ",\N,\N,\N,"*"
400,\N,8498,\N,\N,"01 23 31.0","-30 56 44",5.84,1.61,"  K5III             ",\N,\N,\N,"*"
401," 44    Cet",8511,\N,"AV Cet   ","01 24 02.5","-08 00 27",6.21,0.23,"  F0V               ",\N,\N,\N,"*"
402," 45The Cet",8512,1118,\N,"01 24 01.4","-08 11 00",3.6,1.06,"  K0III-IIIb        ",\N,\N,\N,"*"
403," 37Del Cas",8538,\N,"Del Cas  ","01 25 49.0","+60 14 07",2.68,0.13,"  A5III-IV          ",\N,\N,\N,"*"
404,\N,8556,1123,\N,"01 24 20.6","-06 54 53",5.91,0.41,"  F3V               ",\N,\N,\N,"*"
405,\N,8589,\N,\N,"01 24 39.8","-15 39 37",6.14,0.91,"  G5                ",\N,\N,\N,"*"
406,\N,8599,\N,\N,"01 24 48.7","-02 50 55",6.15,0.96,"  G8III             ",\N,\N,\N,\N
407,\N,8634,\N,\N,"01 25 35.7","+23 30 42",6.18,0.43,"  F5III             ",\N,\N,\N,"*"
408,\N,8651,\N,\N,"01 24 40.8","-41 29 33",5.42,1.04,"  K0III             ",\N,\N,\N,\N
409,\N,8671,\N,\N,"01 26 18.6","+43 27 28",5.96,0.49,"  F7V               ",\N,\N,\N,\N
410,\N,8673,\N,\N,"01 26 08.7","+34 34 47",6.31,0.47,"  F7V               ",\N,\N,\N,"*"
411,\N,8681,\N,\N,"01 24 41.9","-44 31 42",6.26,1.14,"  K1II              ",\N,\N,\N,\N
412," 46    Cet",8705,\N,\N,"01 25 37.2","-14 35 56",4.9,1.23,"  K2.5IIIb          ",\N,\N,\N,\N
413," 93Rho Psc",8723,\N,506,"01 26 15.3","+19 10 20",5.38,0.39,"  F2V:              ",\N,\N,\N,\N
414," 94    Psc",8763,\N,\N,"01 26 41.7","+19 14 25",5.5,1.11,"  K1III             ",\N,\N,\N,"*"
415,\N,8774,\N,\N,"01 27 06.2","+34 22 39",6.27,0.46,"  F7IVb vs          ",\N,\N,\N,"*"
416,\N,8779,\N,\N,"01 26 27.3","-00 23 55",6.41,1.24,"  K0IV              ",\N,\N,\N,\N
417," 48Ome And",8799,1152,\N,"01 27 39.4","+45 24 24",4.83,0.42,"  F5IV              ",\N,\N,\N,"*"
418,\N,8801,1151,\N,"01 27 26.6","+41 06 02",6.46,0.27,"  A7m               ",\N,\N,\N,"*"
419,\N,8803,1148,\N,"01 26 53.5","+03 32 07",6.58,-0.04,"  B9V+A8V           ",\N,\N,\N,"*"
420,\N,8810,\N,\N,"01 25 05.3","-64 22 10",5.93,1.56,"  K5III             ",\N,\N,\N,\N
421," 47    Cet",8829,\N,512,"01 26 51.6","-13 03 24",5.66,0.35,"  F0IIIDel Del      ",\N,\N,\N,\N
422,\N,8837,\N,\N,"01 27 47.0","+40 20 08",6.6,-0.04,"  A0III             ",\N,\N,\N,"*"
423,\N,8879,\N,"R Scl    ","01 26 58.1","-32 32 35",5.79,3.86,"  C6II              ",\N,\N,\N,"*"
424,"  1Alp UMi",8890,1477,"Alp UMi  ","02 31 48.7","+89 15 51",2.02,0.6,"  F7:Ib-II          ",\N,\N,\N,"*"
425,\N,8921,1162,\N,"01 27 46.6","-10 54 06",6.13,1.32,"  K4III-IV          ",\N,\N,\N,\N
426,\N,8949,\N,519,"01 28 22.9","+07 57 41",6.2,1.12,"  K1III             ",\N,\N,\N,"*"
427," 38    Cas",9021,\N,\N,"01 31 13.8","+70 15 53",5.81,0.47,"  F6V               ",\N,\N,\N,"*"
428,\N,9030,\N,\N,"01 30 52.3","+66 05 53",6.14,0.08,"  A2V s             ",\N,\N,\N,"*"
429,"   Gam Phe",9053,\N,"Gam Phe  ","01 28 21.9","-43 19 06",3.41,1.57,"  M0-IIIa           ",\N,\N,\N,"*"
430," 49    And",9057,\N,\N,"01 30 06.2","+47 00 26",5.27,1,"  K0III             ",\N,\N,\N,\N
431,\N,9065,\N,"WZ Scl   ","01 28 43.3","-33 45 49",6.58,0.3,"  F0IV              ",\N,\N,\N,"*"
432," 97    Psc",9100,\N,"VX Psc   ","01 29 52.9","+18 21 20",6.02,0.14,"  A4IV              ",\N,\N,\N,"*"
433," 48    Cet",9132,1184,\N,"01 29 36.1","-21 37 46",5.12,0.02,"  A1V               ",\N,\N,\N,\N
434," 98Mu  Psc",9138,\N,\N,"01 30 11.1","+06 08 38",4.84,1.37,"  K4III             ",\N,\N,\N,"*"
435,\N,9184,\N,"AW Phe   ","01 29 30.4","-46 45 23",6.31,1.66,"  M2III             ",\N,\N,\N,"*"
436,\N,9228,1193,\N,"01 30 22.9","-26 12 28",5.93,1.34,"  K4III             ",\N,\N,\N,"*"
437," 99Eta Psc",9270,1199,532,"01 31 29.0","+15 20 45",3.62,0.97,"  G7IIIa            ",\N,\N,\N,"*"
438,\N,9298,\N,\N,"01 32 07.6","+34 48 00",6.39,-0.12,"  B7IIIpHgMn        ",\N,\N,\N,\N
439,\N,9352,\N,\N,"01 33 25.8","+58 19 39",5.7,1.52,"  K0Ib+B9V          ",\N,\N,\N,"*"
440,"   Del Phe",9362,\N,\N,"01 31 15.1","-49 04 22",3.95,0.99,"  K0III             ",\N,\N,\N,\N
441,\N,9377,\N,\N,"01 31 43.3","-30 17 00",5.82,1.08,"  K0III             ",\N,\N,\N,\N
442," 39Chi Cas",9408,\N,\N,"01 33 55.9","+59 13 55",4.71,1,"  G9IIIb            ",\N,\N,\N,\N
443,\N,9414,\N,\N,"01 31 39.1","-45 34 32",6.17,0.06,"  A2V               ",\N,\N,\N,"*"
444,\N,9484,\N,"Var      ","01 33 03.5","-09 00 53",6.59,-0.04,"  A0III             ",\N,\N,\N,"*"
